,Organization,Sponsorship Category,Final Allocation,Org Category,Years of Sponsorship
524,United for Health at Berkeley,Student-Initiated Service Group (SISG),$650,Student-Initiated Service Group (SISG),1
525,Universities Allied for Essential Medicines,Student-Initiated Service Group (SISG),$920,Student-Initiated Service Group (SISG),9
526,Vietnamese Student Association,Student-Initiated Service Group (SISG),"$15,000",Student-Initiated Service Group (SISG),32
527,Volunteer Health Interpreters Organization,Student-Initiated Service Group (SISG),"$5,600",Student-Initiated Service Group (SISG),17
528,Volunteer Income Tax Assistance Program,Student-Initiated Service Group (SISG),"$1,000",Student-Initiated Service Group (SISG),11
529,Volunteers for Medical Outreach,Student-Initiated Service Group (SISG),"$2,800",Student-Initiated Service Group (SISG),11
530,You Mean More,Student-Initiated Service Group (SISG),"$1,218",Student-Initiated Service Group (SISG),12
531,Chief-of-Staff Stipend,OP,"$2,000",Office of the President,
532,President Discretionary Fund,OP,"$5,000",Office of the President,
533,President Stipend,OP,"$4,000",Office of the President,
534,Chief-of-Staff Stipend,EVP,"$2,000",Office of the Executive Vice President,
535,EVP Discretionary Fund,EVP,"$2,000",Office of the Executive Vice President,
536,EVP Spaces Director Stipend,EVP,$500,Office of the Executive Vice President,
537,EVP Stipend,EVP,"$4,000",Office of the Executive Vice President,
538,Senate Vice Chair,EVP,$300,Office of the Executive Vice President,
539,Co-Campus Organizing Directors Stipend,EAVP,"$2,000",Office of External Affairs Vice President,
540,Chief-of-Staff Stipend,EAVP,"$2,000",Office of External Affairs Vice President,
541,EAVP Discretionary Fund,EAVP,"$44,000",Office of External Affairs Vice President,
542,EAVP Stipend,EAVP,"$4,000",Office of External Affairs Vice President,
543,Co-Legislative Affairs Directors Stipend,EAVP,"$2,000",Office of External Affairs Vice President,
544,Legislative Conference,EAVP,"$20,000",Office of External Affairs Vice President,
545,AAVP Discretionary Fund,AAVP,"$5,000",Office of the Academic Affairs Vice President,
546,AAVP Stipend,AAVP,"$4,000",Office of the Academic Affairs Vice President,
547,Chief-of-Staff Stipend,AAVP,"$2,000",Office of the Academic Affairs Vice President,
548,Director Stipends,AAVP,"$3,000",Office of the Academic Affairs Vice President,
549,ASUC Professional Development,SEN,"$15,000",Senate,
550,ASUC Conference,SEN,"$5,000",Senate,
551,Senate Leadership Institute / Senate Meetings,SEN,"$5,000",Senate,
552,Senator Discretionary Funds ($750.00 each),SEN,"$15,750",Senate,
553,Senator Stipends ($2500.00 each),SEN,"$52,500",Senate,
554,Student Union Board of Directors Chair Stipend,AOFR,"$3,000",Appointed Officials,
555,Chief Appointed Officials Support Staff Stipends ,AOFR,"$2,500",Appointed Officials,
556,Chief Communications Officer Stipend,AOFR,"$3,000",Appointed Officials,
557,Chief Financial Officer Stipend,AOFR,"$3,000",Appointed Officials,
558,Chief Legal Officer Stipend,AOFR,"$3,000",Appointed Officials,
559,Chief Personnel Officer Stipend,AOFR,"$3,000",Appointed Officials,
560,Chief Technology Officer Stipend,AOFR,"$3,000",Appointed Officials,
561,Judicial Council Chair Stipend,AOFR,"$1,000",Appointed Officials,
562,Judicial Council Assistant Chair Stipend,AOFR,$500,Appointed Officials,
563,Judicial Council Undergraduate Stipends (7 x $300),AOFR,"$2,100",Appointed Officials,
564,Judicial Council Office,AOFR,$300,Appointed Officials,
565,Communications Office,AOFR,"$5,000",Appointed Officials,
566,Finance Office,AOFR,"$2,500",Appointed Officials,
567,Legal Office,AOFR,$600,Appointed Officials,
568,Personnel Office,AOFR,"$4,640",Appointed Officials,
569,Technology Office,AOFR,"$2,700",Appointed Officials,
570,SU Board Undergraduate Team,AOFR,"$2,000",Appointed Officials,
571,Public Defender Stipend,AOFR,$150,Appointed Officials,
572,Archives,OPRS,"$5,000",Operations,
573,ASUC Administrative Office,OPRS,"$84,000",Operations,
574,ASUC End of Year Banquet,OPRS,"$7,500",Operations,
575,Audit,OPRS,"$30,000",Operations,
576,Bank Fee,OPRS,"$1,000",Operations,
577,Big Ideas,OPRS,"$15,000",Operations,
578,Capital Improvement Fund,OPRS,"$40,000",Operations,
579,Contingency Fund,OPRS,"$100,000",Operations,
580,Legal Fee,OPRS,"$30,000",Operations,
581,Space Reservation Fund,OPRS,"$75,000",Operations,
582,Elections Council - 2 Director Stipends ($150.00 each),ELCT,$300,Elections,
583,Elections Council - 3 Auditor/Prosecutor Assistant Stipends ($100.00 each),ELCT,$300,Elections,
584,Elections Council - Assistant Chair Stipend,ELCT,$500,Elections,
585,Elections Council - Chair Stipend,ELCT,"$2,000",Elections,
586,Elections Council - Chief Auditor Stipend,ELCT,$500,Elections,
587,Elections Council - Prosecutor Stipend,ELCT,$500,Elections,
588,Elections Operations,ELCT,"$4,000",Elections,
589,D&O Insurance,GEN,"$3,000",External Expenditures,
590,GL Insurance,GEN,"$20,000",External Expenditures,
